Mass-to-Charge-State Ratio (Da),Uncorrected Count,Corrected Count,Background Estimate
0.0,0.0,-222.4072093230042,186.8169257122435
0.01,0.0,-88.74226291677411,186.8169257122435
0.02,0.0,-67.02876106419897,85.5421397586827
0.03,0.0,-56.16017027183559,65.64598439266422
0.04,0.0,-49.31366352457849,55.34359430659255
0.05,0.0,-44.489920887177846,48.75919921070416
0.06,0.0,-40.854045834805504,44.08191566897771
0.07,0.0,-37.9862309533192,40.5376269636499
0.08,0.0,-35.64899728251727,37.73157322005348
0.09,0.0,-33.696484395749216,35.43831251621811
0.1,0.0,-32.03346767862621,33.5184188658005
0.11,0.0,-30.594779230343423,31.880389368254832
0.12,0.0,-29.334107913040093,30.461342318422666
0.13,0.0,-28.21751484359312,29.216441912540674
0.14,0.0,-27.219483513204704,28.112739896634846
0.15,0.0,-26.320407570953684,27.12540497687119
0.16,0.0,-25.50494239781791,26.235321706159592
0.17,0.0,-24.76087929419722,25.427501901236738
0.18,0.0,-24.07836966589387,24.6900036528798
0.19,0.0,-23.4493680783382,24.0131812610922
0.2,0.0,-22.867227183442015,23.389144501791925
0.21,0.0,-22.32640279583024,22.81136881245318
0.22,0.0,-21.822226918364343,22.274406328802257
0.23,0.0,-21.35073941863355,21.77366725499087
0.24,0.0,-20.908552130371184,21.305253685854435
0.25,0.0,-20.49275110184187,20.865829191955473
0.26,0.0,-20.100812672505672,20.452522021645102
0.27,0.0,-19.73053743107486,20.062844038750004
0.28,0.0,-19.380000624451757,19.694625157466273
0.29,0.0,-19.04750864634017,19.345965539436563
0.3,0.0,-18.73156410892516,19.01519267840793
0.31,0.0,-18.430838901574926,18.700827306376592
0.32,0.0,-18.14414856084476,18.40155669070837
0.33,0.0,-17.87043450829372,18.11620971939834
0.34,0.0,-17.6087460498828,17.843739377306115
0.35000000000000003,0.0,-17.35822797820938,17.58320486476324
0.36,0.0,-17.118107340276733,17.333760153481954
0.37,0.0,-16.88768425837914,17.094639562231844
0.38,0.0,-16.66632310861491,16.86515036586424
0.39,1.0,-15.453444891492197,16.64466266252306
0.4,2.0,-14.248521509883371,16.432602936343525
0.41000000000000003,0.0,-16.05106909330513,16.228447620150796
0.42,0.0,-15.8606450176864,16.031717373414352
0.43,1.0,-14.676841587276272,15.841973267550921
0.44,2.0,-13.499283888876926,15.658810587041696
0.45,1.0,-14.32762597714651,15.481858114176653
0.46,4.0,-11.161548132785638,15.310772168590333
0.47000000000000003,5.0,-10.0007544783517,15.145235653587601
0.48,8.0,-6.844970951701033,14.98495507591152
0.49,3.0,-11.693942206547549,14.829658161557685
0.5,6.0,-8.547431493253443,14.679091590797837
0.51,8.0,-6.405217440178536,14.533020163714859
0.52,7.0,-7.267094649726687,14.391224416017119
0.53,14.0,-0.13287047969513233,14.253499784573458
0.54,14.0,-0.0023648048559170576,14.119655534529658
0.55,9.0,-4.875408824863054,13.989512136704178
0.56,18.0,4.24815505495676,13.862902340471727
0.5700000000000001,16.0,2.36847548858053,13.739669266414705
0.58,10.0,-3.5143080491295917,13.619665452648944
0.59,12.0,-1.4000643087520466,13.502751901149425
0.6,12.0,-1.288669789468722,13.38879867379672
0.61,9.0,-4.180008023809261,13.277682508191274
0.62,11.0,-2.073969100813919,13.169287890537007
0.63,10.0,-2.9704489507778593,13.063505386711308
0.64,8.0,-4.86934970287901,12.960231642265047
0.65,12.0,-0.770578373875938,12.859369263213285
0.66,12.0,-0.6740467488985669,12.760825862361008
0.67,13.0,0.42032849934254335,12.66451358246599
0.68,11.0,-1.4873738318159582,12.57034945386665
0.6900000000000001,16.0,3.602921359474779,12.478255394482034
0.7000000000000001,15.0,2.691286194831509,12.388156421672575
0.71,8.0,-4.222212449337511,12.299981009867945
0.72,7.0,-5.137509365553989,12.213662163450598
0.73,11.0,-1.0545433994552935,12.129135628616515
0.74,9.0,-2.9732557808644664,12.046340012584498
0.75,16.0,4.106409280163353,11.965217141224002
0.76,4.0,-7.815495049031223,11.885711463008743
0.77,11.0,-0.7389176276654026,11.807769810598103
0.78,6.0,-5.663810533607065,11.731341520046428
0.79,12.0,0.40987355922949265,11.656378788430878
0.8,14.0,2.4821782814421747,11.582834647293607
0.81,6.0,-5.446853690045386,11.510665466036706
0.8200000000000001,8.0,-3.377180989611679,11.439828806155111
0.8300000000000001,7.0,-4.308765589495148,11.370283421236598
0.84,8.0,-3.2415697003527972,11.301991760356742
0.85,11.0,-0.17555767860874516,11.234915795753984
0.86,9.0,-2.1106949535706625,11.169020241480293
0.87,10.0,-1.0469488618947655,11.104270646052619
0.88,9.0,-1.9842870978651186,11.040634346127185
0.89,5.0,-5.922680335997887,10.978079512825186
0.9,7.0,-3.8620982971349616,10.916576463034934
0.91,14.0,3.1974869136960873,10.856095394435465
0.92,5.0,-5.7438981198344345,10.79660841205434
0.93,7.0,-3.6862272908933544,10.738088932221256
0.9400000000000001,9.0,-1.6294748502753522,10.680511086521609
0.9500000000000001,11.0,0.42638268624849784,10.623849244959363
0.96,5.0,-5.518631197092878,10.568079804096307
0.97,4.0,-6.464493969744825,10.513179637331367
0.98,5.0,-5.411184531664094,10.459126214109887
0.99,11.0,0.6413186940296982,10.40589819597005
1.0,7.0,-3.30696438471304,10.353474602077899
1.01,6121.0,6110.743985424802,10.301835166855163
1.02,908.0,897.7941871960617,10.250961055234994
1.03,77.0,66.84365881045665,10.200833074522684
1.04,40.0,29.89241803017136,10.15143346253493
1.05,16.0,5.940481186877433,10.102744695507011
1.06,18.0,7.987865506316402,10.05475008413917
1.07,12.0,2.0345866049044603,10.007432760317746
