Mass-to-Charge-State Ratio (Da),Uncorrected Count,Corrected Count,Background Estimate
0.0,0.0,-337.082495891296,283.1415232641458
0.01,0.0,-134.49862127431697,283.1415232641458
0.02,0.0,-101.58943075215355,129.64848379411487
0.03,0.0,-85.11689115598662,99.4936809966548
0.04,0.0,-74.74025943525767,83.8792813514887
0.05,0.0,-67.42935003442985,73.8999074167616
0.06,0.0,-61.91878358474192,66.81097428560287
0.07,0.0,-57.572295792226605,61.43921560291203
0.08,0.0,-54.02996140389887,57.18633380112889
0.09,0.0,-51.07071252483284,53.7106455087262
0.1,0.0,-48.550230104418716,50.800835103874476
0.11,0.0,-46.36974066788631,48.3182230887661
0.12,0.0,-44.45905474255626,46.167502117769224
0.13,0.0,-42.76673495294202,44.28071956120739
0.14,0.0,-41.25410933051299,42.60793674271109
0.15,0.0,-39.891461384981376,41.111523106053774
0.16,0.0,-38.65553457715338,39.76250435794916
0.17,0.0,-37.52782524198379,38.5381649309337
0.18,0.0,-36.493407661874045,37.420405756271734
0.19,0.0,-35.540086250245196,36.3946072458057
0.2,0.0,-34.65778806102724,35.448810801013046
0.21,0.0,-33.83810955496171,34.57312848863234
0.22,0.0,-33.07397613788696,33.75930339682431
0.23,0.0,-32.35938419184778,33.00037847178122
0.24,0.0,-31.68920151875422,32.290445701393544
0.25,0.0,-31.059009268871066,31.624450135187285
0.26,0.0,-30.46498368520833,30.998037773277677
0.27,0.0,-29.903791437769904,30.40743802601533
0.28,0.0,-29.37251404486763,29.849362624513454
0.29,0.0,-28.868586122712223,29.3209300419619
0.3,0.0,-28.389737688119872,28.81960779633373
0.31,0.0,-27.933955534704282,28.343152607324736
0.32,0.0,-27.49944532432434,27.88957534882395
0.33,0.0,-27.084601069507514,27.457100756175688
0.34,0.0,-26.687983914197257,27.044141676974277
0.35000000000000003,0.0,-26.308296622966296,26.64927356027723
0.36,0.0,-25.944367130135447,26.27121299893422
0.37,0.0,-25.595135903589494,25.908799132938725
0.38,0.0,-25.25963877864035,25.5609831590111
0.39,0.0,-24.93699861337717,25.226809972368823
0.4,0.0,-24.62641455983078,24.905410298913786
0.41000000000000003,0.0,-24.327153957742404,24.595990443233855
0.42,0.0,-24.03854494358805,24.29782442079015
0.43,0.0,-23.75997096695144,24.010245851685724
0.44,0.0,-23.490862445874154,23.73264295387567
0.45,0.0,-23.23069652843706,23.464451867447192
0.46,0.0,-22.978987079180463,23.205152601503972
0.47000000000000003,0.0,-22.735287301708336,22.95426378895766
0.48,0.0,-22.499179486689947,22.711341494435057
0.49,0.0,-22.270279541812595,22.47597134646537
0.5,0.0,-22.048226262946113,22.24777187534015
0.51,3.0,-18.83268562567703,22.026384261114902
0.52,6.0,-15.62334554010013,21.811477578817534
0.53,6.0,-15.419913705051322,21.60274116905425
