Mass-to-Charge-State Ratio (Da),Uncorrected Count,Corrected Count,Background Estimate
0.0,0.0,-3943.167262660777,3312.169596708706
0.01,0.0,-1573.3554245372056,3312.169596708706
0.02,0.0,-1188.3860061767639,1516.618854966423
0.03,0.0,-995.6914047335632,1163.8700771654267
0.04,0.0,-874.3062939218981,981.2139273938626
0.05,0.0,-788.7837988995261,864.4759187174292
0.06,0.0,-724.3215598348532,781.5500803710389
0.07,0.0,-673.4766602112823,718.7116052673274
0.08,0.0,-632.0386853423222,668.9617068124497
0.09,0.0,-597.4216139274629,628.3033530307273
0.1,0.0,-567.937171663348,594.2646049526569
0.11,0.0,-542.4299592823463,565.2231672756546
0.12,0.0,-520.0788937546093,540.0641909620971
0.13,0.0,-500.2822600208267,517.9927389159523
0.14,0.0,-482.5876617096638,498.4246474991954
0.15,0.0,-466.6475150668777,480.91970066828225
0.16,0.0,-452.18972156413304,465.138985475443
0.17,0.0,-438.9978734358292,450.81673960419965
0.18,0.0,-426.89731477595586,437.74128551333627
0.19,0.0,-415.7454293193139,425.74155692679864
0.2,0.0,-405.42436962887376,414.67769560538005
0.21,0.0,-395.83582714607275,404.4340284893891
0.22,0.0,-386.89704201766375,394.9139560045565
0.23,0.0,-378.53780092911063,386.03610303267726
0.24,0.0,-370.69804910421334,377.7313625213695
0.25,0.0,-363.32611265626576,369.9405914070364
0.26,0.0,-356.37723755907354,362.61287111299447
0.27,0.0,-349.8124452378278,355.70407322337127
0.28,0.0,-343.5976094124112,349.1757417768587
0.29,0.0,-337.70268552858664,342.99418155410956
0.3,0.0,-332.1011614416174,337.12974091468675
0.31,0.0,-326.7694470647333,331.55621288962027
0.32,0.0,-321.6865730080612,326.25028967972395
0.33,0.0,-316.83375951785433,321.19123077695
0.34,0.0,-312.1941589844394,316.36046814323976
0.35000000000000003,0.0,-307.7525984501629,311.74132773763716
0.36,0.0,-303.49538124514334,307.31879681976636
0.37,0.0,-299.4100981597649,303.07931032679534
0.38,0.0,-295.4854786714917,299.0105830267633
0.39,0.0,-291.7112536157724,295.1014493013044
0.4,0.0,-288.0780636333104,291.34173535329427
0.41000000000000003,0.0,-284.57733328505986,287.7221638394238
0.42,0.0,-281.2012081097238,284.234237521937
0.43,0.0,-277.9424707004186,280.87016678938784
0.44,0.0,-274.79445868868623,277.62279145534865
0.45,0.0,-271.7510494857063,274.4855082791663
0.46,0.0,-268.80657635895966,271.4522385410367
0.47000000000000003,0.0,-265.9557902852583,268.51736509950314
0.48,0.0,-263.1938275258195,265.67567517099957
0.49,0.0,-260.51616384990115,262.92233934901725
0.5,0.0,-257.9186011833617,260.2528696424362
0.51,4.0,-251.39721992494705,257.6630965873432
0.52,8.0,-244.9483713168959,255.1491291927122
0.53,20.0,-230.56864692736323,252.70734349631286
0.54,57.0,-191.25484622549533,250.33435013978567
0.55,62.0,-184.00398039612642,248.0269752951565
0.56,81.0,-162.8132551736422,245.78224731339645
0.5700000000000001,100.0,-141.68003460235732,243.59738718767957
0.58,122.0,-117.60184485121252,241.4697780358059
0.59,151.0,-86.57635895498629,239.39696128550455
0.6,156.0,-79.60139490694635,237.37662523034226
0.61,175.0,-58.674875604530214,235.40659549298104
0.62,188.0,-43.794855552224796,233.48481213699523
0.63,204.0,-25.95949606603545,231.60933920361447
0.64,200.0,-28.167057644091617,229.77834945293532
0.65,228.0,1.5841076627471438,227.9901110124815
0.66,212.0,-12.704436119714543,226.2429835625066
0.67,213.0,-10.031214611053535,224.5354183359944
0.68,223.0,1.6051798119543186,222.8659390451732
0.6900000000000001,186.0,-33.79392915080267,221.23315523295577
0.7000000000000001,211.0,-7.227269297846849,219.63574319945377
0.71,194.0,-22.69364090694518,218.07244027993227
0.72,216.0,0.808098523679142,216.54204865950678
0.73,206.0,-7.720952373213549,215.0434391878402
0.74,188.0,-24.27976553675902,213.57551132482376
0.75,201.0,-9.867345331018235,212.13724463898737
0.76,187.0,-22.482747618462785,210.72764921643764
0.77,204.0,-4.125072130580751,209.34578282699462
0.78,209.0,2.206543254168956,207.9907509241921
0.79,196.0,-9.487077489643415,206.66169710853464
0.8,199.0,-5.205150441767032,205.35779740545183
0.81,190.0,-12.946920292179172,204.07827361673867
0.8200000000000001,200.0,-1.7116641557823336,202.82237233972086
0.8300000000000001,202.0,1.5013065202472262,201.58937450399802
0.84,178.0,-21.3073445067978,200.378597278792
0.85,177.0,-21.136982089852847,199.18937309211304
0.86,177.0,-19.986999692081497,198.02107633363931
0.87,196.0,0.1431863351701601,196.87310046653442
0.88,201.0,6.25414438176772,195.74486184214433
0.89,185.0,-8.653593402045551,194.63579588530067
